ID,marka,naw3,9at3a,khochn,toul,3ordh,R,G,B,soum
25852,Bey&Bey,mta3 kolyoum,serwel,1.056666667,26.4,56,104,19,22,49.2
25853,HA,mta3 a3res,maryoul,1.028333333,89.6,56,157,28,32,781.2
25854,Zen,sport,sabbat,0.99,53.6,59.4,135,25,27,213.1
25855,Zen,classy,t-shirt,1.036666667,145.6,56,185,34,39,1009
25856,HA,classy,sabbat,1.028333333,88.8,54,157,28,32,505.1
25857,Bey&Bey,mta3 a3res,sabbat,1.018333333,57.6,60,135,24,28,270.5
25858,Zen,sport,jacket,1.035,24,56,101,18,21,78.9
25859,Zen,formel,serwel,1.003333333,176,60,199,36,40,1542.4
25860,HA,mta3 kolyoum,t-shirt,1.038333333,56,55,133,24,28,384
25861,Armani,mta3 kolyoum,maryoul,1.028333333,56.8,56,137,24,28,286.3
25862,Zen,confy,t-shirt,1.028333333,42.4,59,122,22,25,184.4
25863,Zen,formel,serwel,1.038333333,145.6,60,183,33,38,1070.1
25864,Armani,formel,jacket,1.05,41.6,58,121,22,25,161.9
25865,Zen,confy,maryoul,1,57.6,57,137,25,27,247.9
25866,HA,classy,sabbat,1.03,31.2,55.9,110,20,23,58.6
25867,Zen,posé,maryoul,1.058333333,25.6,57,104,18,22,59.1
25868,HA,confy,maryoul,1.015,51.2,57,132,24,27,221.5
25869,Zen,posé,maryoul,1.05,163.2,58,190,35,40,1795.2
25870,HA,sport,serwel,1.035,87.2,56,158,28,33,467
25871,Armani,sport,kabbout,1.036666667,24.8,59,102,18,21,70.7
25872,Armani,formel,sabbat,1.041666667,125.6,58,178,32,37,984.7
25873,Armani,classy,sabbat,1.031666667,108.8,59,168,30,35,662.6
25874,Zen,mta3 a3res,maryoul,1.048333333,59.2,57,136,25,29,268.4
25875,Bey&Bey,mta3 kolyoum,sabbat,1.096666667,72,58,142,26,31,468.2
25876,Armani,mta3 a3res,t-shirt,1.04,30.4,59,108,20,23,93.3
25877,Armani,formel,t-shirt,1.02,72,61,147,26,30,348.4
25878,HA,confy,t-shirt,1.025,24,56,103,18,21,91.1
25879,Zen,mta3 kolyoum,maryoul,1.025,83.2,58,153,28,32,560.5
25880,Armani,mta3 a3res,maryoul,1.01,33.6,61,115,20,23,92.6
25881,Zen,confy,sabbat,1.006666667,72,60,147,27,30,470.7
25882,HA,confy,maryoul,1.038333333,57.6,57,135,24,28,283.1
25883,Bey&Bey,classy,t-shirt,0.988333333,181.6,61,201,37,40,1705.1
25884,Zen,confy,t-shirt,1.011666667,56,57,135,24,27,335.8
25885,Armani,mta3 kolyoum,sabbat,1.005,25.6,60,105,19,21,97.2
25886,Armani,posé,serwel,1.028333333,87.2,60,155,28,32,449.6
25887,Zen,classy,kabbout,1.048333333,120,58,172,31,36,862.2
25888,HA,posé,socks,1.031666667,25.6,54.2,103,19,21,78.3
25889,Armani,confy,serwel,1.028333333,25.6,60,103,19,21,44.9
25890,HA,mta3 a3res,maryoul,1.046666667,97.6,55,163,29,34,645.6
25891,Bey&Bey,classy,serwel,1.063333333,83.2,56,151,27,32,320.4
25892,Bey&Bey,confy,sabbat,1.056666667,24.8,55,102,18,22,54.4
25893,Armani,posé,sabbat,1.041666667,24.8,60,103,18,21,62.8
25894,Armani,posé,serwel,1.01,184,59,199,36,40,1404.2
25895,HA,posé,jacket,1.006666667,77.6,57,151,28,31,680.1
25896,Armani,mta3 a3res,sabbat,1.04,40,60,120,21,25,165.4
25897,Armani,mta3 kolyoum,sabbat,1.006666667,80.8,58,155,28,31,703.2
25898,HA,posé,jacket,1.025,26.4,56,105,19,22,73
25899,Armani,sport,sabbat,0.97,126.4,58,182,33,35,1178.6
25900,Zen,classy,t-shirt,1.02,120.8,63,173,31,35,852.4
25901,Zen,mta3 kolyoum,t-shirt,1.013333333,83.2,58,154,28,31,691.5
25902,HA,confy,sabbat,1.031666667,124,58,175,32,36,1529.3
25903,HA,formel,serwel,1.028333333,90.4,57,156,29,33,430.7
25904,Zen,mta3 a3res,kabbout,1.051666667,120.8,56,173,31,36,1731.7
25905,HA,confy,kabbout,1.006666667,24.8,61,103,19,21,71
25906,Armani,sport,t-shirt,1.05,42.4,58,122,22,26,172.7
25907,Zen,mta3 kolyoum,sabbat,1.036666667,51.2,58,130,23,27,229.7
25908,Armani,formel,serwel,0.993333333,80.8,62,155,28,31,376.7
25909,Zen,mta3 a3res,maryoul,1.048333333,32,58,111,20,23,68.7
25910,Zen,formel,maryoul,1.058333333,72.8,57,145,26,31,285.2
25911,HA,mta3 kolyoum,maryoul,1.035,32,56,111,20,23,77.2
25912,HA,sport,serwel,1.01,32,56,114,20,23,65.1
25913,Armani,mta3 kolyoum,hoodie,1.028333333,120,62,172,31,35,630
25914,Armani,confy,maryoul,1.023333333,45.6,58,126,22,26,172.8
25915,Zen,formel,sabbat,0.988333333,72,59,148,27,29,399.2
25916,Kontakt,sport,serwel,1.076666667,116.8,54,168,30,36,550.4
25917,HA,mta3 a3res,serwel,1.025,72,56,148,26,30,419.8
25918,Armani,posé,serwel,1.033333333,100.8,56,164,29,34,458.6
25919,Bey&Bey,sport,t-shirt,1.063333333,83.2,57,151,27,32,704.9
25920,HA,mta3 kolyoum,serwel,1.03,82.4,54,153,28,32,501.3
25921,HA,mta3 a3res,kabbout,1.018333333,44.8,56,127,23,26,252.2
25922,Armani,confy,sabbat,0.988333333,40.8,58,124,22,24,166.2
25923,HA,mta3 a3res,serwel,0.993333333,58.4,56,139,25,28,216.4
25924,HA,sport,sabbat,1.003333333,123.2,59,177,32,36,1350.8
25925,HA,confy,t-shirt,1.025,50.4,56,130,23,27,250.3
25926,Zen,mta3 kolyoum,sabbat,1.05,61.6,58,137,25,29,335.1
25927,Armani,sport,t-shirt,1.005,26.4,58,106,19,21,62.1
25928,Zen,formel,maryoul,1.048333333,80.8,58,151,27,32,475.9
25929,Armani,posé,t-shirt,1.008333333,85.6,61,158,28,32,449.4
25930,Armani,mta3 a3res,sabbat,1.028333333,24.8,58,103,18,21,80.2
25931,HA,mta3 a3res,kabbout,1.02,56.8,55,136,25,28,370.5
25932,HA,sport,serwel,1.031666667,92.8,56,159,29,33,488
25933,Armani,mta3 kolyoum,sabbat,1.036666667,40,60,122,21,25,143.1
25934,HA,sport,kabbout,1.008333333,44,58,125,23,25,201.6
25935,Armani,formel,sabbat,1.028333333,160.8,60,192,34,39,1670
25936,HA,formel,serwel,1.028333333,88,56,157,28,32,321.6
25937,HA,posé,t-shirt,1.021666667,120,55,174,31,36,1008
25938,HA,sport,sabbat,1.033333333,62.4,57,140,25,29,359
25939,Armani,mta3 a3res,maryoul,1.036666667,46.4,61,126,22,26,163.4
25940,HA,sport,socks,1.031666667,25.6,54,104,19,21,91.8
25941,Bey&Bey,mta3 a3res,maryoul,1.068333333,24.8,61,101,18,21,61.8
25942,HA,mta3 a3res,sabbat,1.018333333,84.8,56.5,155,28,32,763.7
25943,Bey&Bey,confy,hoodie,0.961666667,72.8,63,149,27,29,222.5
25944,Zen,classy,maryoul,1.053333333,30.4,59,108,20,23,53.8
25945,Armani,mta3 kolyoum,sabbat,1.031666667,40.8,58,123,22,25,181.8
25946,Kontakt,mta3 a3res,hoodie,1.14,40,54,117,20,26,61.3
25947,Zen,classy,maryoul,1.038333333,104.8,55,165,30,34,545
25948,Armani,sport,serwel,0.996666667,164.8,61,196,35,39,1594.9
25949,Armani,confy,serwel,1.025,28.8,58,109,19,22,64.8
25950,Zen,confy,t-shirt,0.985,112,57,172,31,34,1219.6
25951,Armani,formel,sabbat,0.998333333,24.8,60,104,19,21,43.5
25952,Armani,posé,t-shirt,1.018333333,24.8,59,103,18,21,69.8
25953,Armani,confy,t-shirt,1.041666667,32,58,111,20,23,105.3
25954,Armani,sport,t-shirt,1.023333333,56,59,132,24,28,251.2
25955,Armani,sport,sabbat,1.04,40.8,58,121,22,25,154.6
25956,Armani,mta3 a3res,maryoul,1.04,34.4,57,114,20,24,101.6
25957,HA,posé,socks,1.015,25.6,56,104,19,21,84.2
25958,Armani,sport,jacket,1.015,35.2,59,116,21,24,123.5
25959,Armani,posé,maryoul,1.02,92.8,57,162,29,33,555.4
25960,HA,posé,kabbout,1.043333333,127.2,54,176,32,37,1297.1
25961,HA,confy,sabbat,1.045,58.4,56,136,25,29,307.7
25962,Armani,confy,t-shirt,1.026666667,41.6,58,122,22,25,166.8
25963,HA,sport,t-shirt,1.023333333,85.6,57,155,28,32,722.2
25964,Bey&Bey,mta3 kolyoum,serwel,1.065,25.6,58,102,18,22,47.7
25965,Zen,posé,sabbat,1,27.2,58,107,19,21,52.1
25966,HA,sport,sabbat,1.04,32.8,54,113,20,23,82.7
25967,Zen,posé,jacket,0.998333333,57.6,57,138,25,28,361
25968,HA,sport,maryoul,1.04,56,56,134,24,28,247.8
25969,Bey&Bey,mta3 a3res,jacket,1.063333333,36,58,115,20,24,154.8
25970,HA,mta3 a3res,sabbat,1.035,27.2,56,105,19,22,68.6
25971,HA,mta3 a3res,kabbout,1.033333333,56.8,57,135,24,28,349.9
25972,Armani,mta3 a3res,maryoul,1.016666667,56,60,136,24,28,249.2
25973,Bey&Bey,posé,sabbat,1.063333333,24.8,56,102,18,22,58.6
25974,HA,confy,sabbat,1.025,24,55,101,18,21,65.8
25975,Kontakt,sport,sabbat,1.095,80.8,54,150,27,33,407.2
25976,Armani,sport,t-shirt,1.003333333,40.8,57,124,22,25,170.9
25977,Armani,confy,serwel,0.995,85.6,58,158,28,31,494.3
25978,Zen,confy,sabbat,1.066666667,56.8,57,134,24,29,280.4
25979,Armani,confy,socks,0.996666667,45.6,60,128,23,25,275.3
25980,Armani,mta3 a3res,sabbat,1.036666667,41.6,58,122,22,25,172
25981,HA,mta3 kolyoum,sabbat,1.028333333,41.6,56,122,22,25,182.2
25982,Zen,sport,hoodie,1.053333333,168.8,57,193,34,41,783.4
25983,Armani,mta3 a3res,sabbat,1.035,96,54,160,29,33,879.6
25984,Armani,mta3 a3res,serwel,1.026666667,56,60,137,24,28,159.7
25985,Zen,posé,maryoul,1.036666667,84.8,58,153,28,32,487.8
25986,Kontakt,mta3 kolyoum,serwel,1.09,84,59,149,27,32,381.6
25987,HA,confy,jacket,1.03,28,56,107,19,22,96.7
25988,HA,confy,kabbout,1.018333333,24.8,56,103,19,21,86.4
25989,Armani,mta3 a3res,maryoul,0.996666667,80.8,60,155,28,31,524.9
25990,Zen,posé,maryoul,1.038333333,72,58,146,26,30,359.5
25991,Bey&Bey,posé,kabbout,1.056666667,25.6,56,103,18,22,64.5
25992,HA,posé,jacket,1.026666667,25.6,56,104,19,21,73
25993,Zen,posé,t-shirt,1.023333333,58.4,58,136,25,28,255.7
25994,HA,mta3 a3res,jacket,1.03,28,54,107,19,22,94.5
25995,Armani,sport,sabbat,1.043333333,25.6,59,102,18,21,56.1
25996,HA,mta3 kolyoum,sabbat,1.026666667,24.8,55,103,18,21,73.4
25997,Zen,posé,t-shirt,1.043333333,72,55,145,26,30,396.4
25998,Kontakt,classy,maryoul,1.076666667,72,61,140,25,30,243.8
25999,Armani,mta3 a3res,serwel,1.03,96.8,59,161,29,33,447.2
26000,Zen,posé,jacket,0.993333333,45.6,58,128,23,25,191.4
26001,Bey&Bey,sport,maryoul,1.071666667,72.8,60,145,26,31,328.6
26002,HA,mta3 a3res,kabbout,1.023333333,25.6,57,104,19,21,72.8
26003,Zen,sport,socks,1.013333333,21.6,57,99,18,20,56.6
26004,Zen,confy,maryoul,1.001666667,24.8,61,103,19,21,54.4
26005,Bey&Bey,sport,serwel,1.035,96,60,159,29,33,531
26006,HA,confy,sabbat,1.03,24.8,55,103,19,21,68
26007,Armani,posé,serwel,1.041666667,42.4,60,122,22,25,101.5
26008,Zen,mta3 a3res,maryoul,1.048333333,63.2,57,139,25,29,351.9
26009,HA,sport,kabbout,1.006666667,42.4,56,124,22,25,194.8
26010,Bey&Bey,confy,hoodie,0.955,121.6,58,178,32,34,310.5
26011,Bey&Bey,sport,maryoul,1.066666667,57.6,59,132,24,28,196.9
26012,Armani,sport,socks,1.05,80.8,60,150,27,31,812
26013,Zen,mta3 a3res,jacket,0.953333333,19.2,63,97,17,18,47.8
26014,HA,posé,t-shirt,1.04,136,55,182,32,38,1394.9
26015,HA,sport,kabbout,1.005,56,57,136,25,27,319.1
26016,HA,mta3 a3res,kabbout,1.031666667,28,54,108,19,22,79.5
26017,HA,formel,kabbout,1.01,40.8,56,122,22,25,157.5
26018,HA,posé,socks,1.023333333,42.4,55,123,22,25,205.9
26019,Bey&Bey,mta3 a3res,maryoul,1.061666667,112.8,58,167,30,35,821.2
26020,Armani,mta3 a3res,maryoul,1.028333333,85.6,58,156,28,32,459.7
26021,Zen,formel,sabbat,1.063333333,120,59,173,31,37,996
26022,Armani,confy,t-shirt,1.033333333,40.8,61,122,22,25,175.8
26023,HA,sport,t-shirt,1.035,136.8,55,183,32,38,1661.8
26024,HA,sport,jacket,1.018333333,24,57,102,18,21,76.4
26025,Zen,confy,sabbat,1.005,81.6,60,156,28,31,610.3
26026,Zen,mta3 a3res,kabbout,1.041666667,24,56,101,18,21,73
26027,Armani,mta3 kolyoum,maryoul,1.003333333,72.8,58,149,27,30,481.6
26028,HA,mta3 a3res,sabbat,1.021666667,40.8,56,122,22,25,156.2
26029,HA,sport,socks,1.036666667,32,55,112,20,23,133.3
26030,HA,sport,sabbat,1.036666667,27.2,53,105,19,22,59.6
26031,Armani,posé,jacket,1.02,19.2,58,95,17,19,55.4
26032,Armani,posé,t-shirt,1.041666667,86.4,60,155,28,32,511.1
26033,HA,mta3 kolyoum,serwel,1.043333333,80.8,56,151,27,31,487.2
26034,Armani,confy,maryoul,1.008333333,80.8,62,154,27,31,522.6
26035,Armani,mta3 a3res,maryoul,0.983333333,67.2,59,146,26,29,311.5
26036,Zen,sport,serwel,1.048333333,83.2,58,152,28,32,420
26037,HA,sport,jacket,1.035,28.8,56,109,19,22,94.5
26038,HA,mta3 kolyoum,maryoul,0.991666667,28.8,56,111,20,22,85.1
26039,Bey&Bey,sport,maryoul,1.06,81.6,58,151,27,32,505.5
26040,Armani,posé,sabbat,1.018333333,95.2,58,162,29,33,694.4
26041,Armani,mta3 a3res,sabbat,0.988333333,32,59,113,20,22,84.2
26042,HA,sport,kabbout,1.033333333,104,57,165,30,34,1107.3
26043,HA,confy,kabbout,1.038333333,32.8,56,113,20,23,124.3
26044,Zen,sport,serwel,1.041666667,65.6,56,142,26,30,289.3
26045,HA,posé,t-shirt,1.033333333,41.6,55.4,122,22,25,157.5
26046,HA,sport,socks,1.018333333,28,56,107,19,22,104.4
26047,HA,sport,t-shirt,1.031666667,42.4,56,123,22,25,181.3
26048,HA,mta3 a3res,t-shirt,1.025,56.8,56,135,24,28,371
26049,Kontakt,sport,hoodie,1.071666667,56,62,132,23,28,95.6
26050,Armani,sport,hoodie,1.003333333,184,59,206,37,41,722.6
26051,HA,confy,jacket,1.03,24,56,102,18,21,89.5
26052,Zen,posé,maryoul,1.053333333,88.8,58,155,28,33,519.2
26053,Armani,formel,serwel,1.028333333,136,56,181,32,37,714
26054,Armani,confy,serwel,1.015,39.2,57,121,21,24,101.1
26055,HA,posé,sabbat,1.04,24.8,55,103,18,21,62.8
26056,Armani,confy,kabbout,1.015,32.8,60,114,20,23,124.3
26057,HA,posé,kabbout,1.023333333,126.4,56,177,32,36,1339.7
26058,Bey&Bey,confy,t-shirt,1,80,65,153,27,31,719
26059,HA,mta3 a3res,sabbat,1.035,27.2,55,106,19,22,68.6
26060,HA,posé,jacket,1.013333333,24.8,55,104,19,21,94.2
26061,HA,posé,t-shirt,1.018333333,24.8,57,104,18,21,69.8
26062,HA,posé,jacket,1.016666667,41.6,56,122,22,25,174.8
26063,Kontakt,mta3 kolyoum,maryoul,1.106666667,72,59,141,25,31,338.2
26064,HA,confy,sabbat,1.023333333,42.4,56,124,22,25,181.3
26065,Armani,confy,sabbat,1.006666667,24,58,103,18,20,84.4
26066,Armani,sport,t-shirt,1.045,48.8,57,128,23,27,219.2
26067,HA,mta3 a3res,sabbat,1.016666667,47.2,56,128,23,26,182.8
26068,HA,sport,serwel,1.045,81.6,57,152,27,32,429.1
26069,HA,sport,jacket,1.026666667,32,57,112,20,23,112.3
26070,HA,confy,sabbat,1.046666667,120.8,56,173,31,36,1484.4
26071,Armani,classy,t-shirt,1.013333333,32.8,61,113,20,23,83
26072,Armani,confy,kabbout,1.023333333,24,58,101,18,21,101.3
26073,HA,confy,maryoul,1.011666667,44,57,125,22,25,155.1
26074,HA,sport,socks,1.026666667,26.4,55,106,19,22,98.4
26075,Zen,posé,t-shirt,1.053333333,88.8,57,156,28,33,606.1
26076,Armani,mta3 kolyoum,maryoul,1.045,72,58,146,26,30,430.4
26077,Armani,confy,maryoul,1.023333333,32,58,114,20,23,88.2
26078,Bey&Bey,sport,sabbat,1.053333333,43.2,55,122,22,26,142.2
26079,Armani,confy,serwel,1.028333333,25.6,60,104,18,21,57.6
26080,HA,mta3 kolyoum,kabbout,1.035,33.6,55,113,20,23,132.6
26081,HA,confy,serwel,1.045,72.8,57,146,27,31,375.6
26082,Zen,sport,t-shirt,1.043333333,24,56,101,18,21,58.1
26083,HA,confy,jacket,1.035,24,56,102,18,21,83.8
26084,HA,formel,sabbat,1.038333333,122.4,57,173,31,36,918.9
26085,Armani,confy,serwel,0.985,88,60,160,29,31,496.7
26086,Armani,confy,sabbat,0.99,120,62,177,32,35,1258.7
26087,Armani,mta3 a3res,serwel,1.03,78.4,58,151,27,31,430.8
26088,HA,classy,sabbat,1.026666667,101.6,56.1,164,30,34,560.6
26089,HA,posé,jacket,1.038333333,24.8,53,103,18,21,68.7
26090,Armani,confy,sabbat,1.018333333,57.6,59,136,25,28,295.4
26091,Zen,confy,t-shirt,0.998333333,99.2,61,165,30,33,1020.2
26092,Bey&Bey,confy,serwel,0.981666667,120.8,61,179,32,35,1088.4
26093,Zen,sport,jacket,1.061666667,40,58,118,21,40,218
26094,Armani,sport,sabbat,0.99,86.4,59,160,28,31,653.2
26095,HA,formel,maryoul,1.036666667,56.8,55,135,24,28,237.6
26096,HA,mta3 a3res,kabbout,1.036666667,56.8,56,135,24,28,416.7
26097,HA,mta3 a3res,maryoul,1.043333333,65.6,56,141,25,29,325.1
26098,Zen,sport,maryoul,1.056666667,97.6,56,160,29,34,642.1
26099,Bey&Bey,posé,serwel,1.038333333,160.8,60,188,34,39,1442.6
26100,HA,posé,maryoul,1.03,45.6,55,126,23,26,129.2
26101,Zen,mta3 a3res,sabbat,1.001666667,96.8,58,162,29,33,1028.3
26102,HA,sport,t-shirt,1.02,80.8,57,152,28,31,729
26103,HA,mta3 kolyoum,sabbat,1.045,25.6,54,103,18,21,75.8
26104,HA,posé,hoodie,1.036666667,172.8,56,197,35,41,870.9
26105,HA,sport,jacket,1.038333333,35.2,56,115,21,24,120.2
26106,HA,sport,t-shirt,1.023333333,96.8,56,162,29,33,882.4
26107,HA,mta3 a3res,jacket,1.025,35.2,57,115,21,24,126
26108,Armani,formel,serwel,0.985,104.8,59,170,30,34,574.4
26109,Bey&Bey,mta3 a3res,sabbat,1.053333333,25.6,58,102,18,21,64.5
26110,Zen,sport,t-shirt,1.051666667,27.2,57,105,19,22,88
26111,Bey&Bey,posé,serwel,1.06,102.4,56,164,29,35,501.8
26112,HA,mta3 a3res,kabbout,1.008333333,40,56,122,22,24,221
26113,Zen,sport,sabbat,1.045,97.6,58,161,29,34,837.7
26114,HA,mta3 a3res,kabbout,1.026666667,32,56,112,20,23,119.6
26115,Zen,confy,maryoul,1.041666667,87.2,57,155,28,32,553.9
26116,Zen,sport,maryoul,1.055,62.4,56,138,25,29,272.1
26117,Zen,sport,kabbout,1.043333333,24.8,57,101,18,21,70.7
26118,Armani,posé,socks,1.041666667,123.2,58,174,31,36,1219.6
26119,HA,posé,maryoul,1.003333333,88.8,54,161,29,32,531.5
26120,Zen,posé,serwel,0.995,160,61,193,35,39,1531.2
26121,HA,confy,serwel,1.02,56.8,57,136,25,28,261.9
26122,Bey&Bey,mta3 a3res,maryoul,1.053333333,44.8,56,124,22,26,134
26123,Armani,classy,maryoul,1.035,162.4,59,191,35,40,1286.2
26124,Armani,sport,socks,1.001666667,57.6,58,139,25,28,318.5
26125,Bey&Bey,confy,sabbat,0.963333333,40,60,123,22,24,136.5
26126,Zen,confy,hoodie,1.038333333,80,58,150,27,31,308
26127,Bey&Bey,posé,sabbat,1.06,72,61,143,25,30,370.1
26128,Armani,mta3 kolyoum,jacket,1.025,36,55,119,21,24,173.6
26129,HA,posé,maryoul,1.011666667,34.4,54,117,21,24,89.1
26130,HA,formel,t-shirt,1.025,60.8,57,138,25,28,267.9
26131,HA,confy,serwel,1.033333333,40.8,56,121,22,25,138.5
26132,Zen,mta3 kolyoum,maryoul,0.981666667,40,61,122,22,24,143.6
26133,Bey&Bey,mta3 a3res,t-shirt,1.003333333,19.2,65,94,17,19,38.3
26134,Armani,mta3 kolyoum,serwel,0.998333333,32.8,60,113,20,23,79.5
26135,Armani,confy,t-shirt,1.025,82.4,58,155,27,31,761.4
26136,Zen,posé,maryoul,1.045,72.8,56,145,26,30,376.2
26137,Zen,formel,sabbat,1.026666667,90.4,57,159,29,33,434.8
26138,Bey&Bey,mta3 a3res,maryoul,1.053333333,81.6,59,150,27,32,530.1
26139,HA,confy,sabbat,1.031666667,26.4,56,105,19,21,92.8
26140,Armani,sport,t-shirt,1.031666667,24,59,102,18,21,60.5
26141,HA,mta3 a3res,kabbout,1.038333333,43.2,53.7,123,22,26,233.4
26142,HA,confy,sabbat,1.048333333,45.6,57,125,22,26,194.9
26143,Zen,confy,kabbout,1.046666667,40.8,57,120,22,25,214.6
26144,HA,classy,t-shirt,1.036666667,32.8,55,113,20,23,77.5
26145,Zen,confy,serwel,1.05,81.6,57,151,27,32,439.8
26146,Zen,mta3 a3res,t-shirt,1.035,18.4,58,92,17,19,37.3
26147,Kontakt,sport,maryoul,1.086666667,80,62,146,26,32,396.5
26148,Zen,formel,sabbat,1.053333333,80,58,152,27,32,326.5
26149,HA,confy,t-shirt,1.023333333,52,59,131,24,27,253.3
26150,Bey&Bey,confy,serwel,0.958333333,56.8,58,140,25,27,178.3
26151,HA,classy,sabbat,1.03,161.6,57,192,35,40,1476.6
26152,HA,confy,maryoul,1.045,32.8,57,113,20,23,96.9
26153,Zen,confy,t-shirt,1.026666667,26.4,56,105,19,21,78.1
26154,Bey&Bey,posé,serwel,0.986666667,124.8,59,177,32,35,755.4
26155,HA,mta3 a3res,maryoul,1.043333333,42.4,55,122,22,26,135.9
26156,Armani,posé,sabbat,1.041666667,136.8,58,181,32,38,1337.6
26157,HA,sport,kabbout,1.016666667,41.6,56,124,22,25,201.2
26158,HA,confy,t-shirt,1.023333333,28.8,54,108,20,22,83.5
26159,HA,confy,t-shirt,1.02,58.4,57,138,25,28,362
26160,Armani,mta3 kolyoum,maryoul,1.02,144,58,187,33,38,1233.8
26161,Zen,classy,sabbat,1.015,138.4,59,183,33,37,951
26162,Zen,confy,sabbat,1.011666667,45.6,58,127,23,26,173.2
26163,Zen,mta3 a3res,serwel,1.041666667,80.8,58,151,27,32,469
26164,HA,mta3 a3res,kabbout,1,29.6,59,110,20,22,83.9
26165,Zen,mta3 a3res,maryoul,1.008333333,56,56,136,25,27,215.5
26166,Armani,posé,serwel,0.981666667,160,57,192,255,64,1221
26167,Bey&Bey,mta3 a3res,serwel,1.056666667,24,56,101,18,21,39.4
26168,Armani,sport,sabbat,0.986666667,32.8,58,114,20,22,106.1
26169,HA,confy,kabbout,1.016666667,24,56,102,19,21,81.2
26170,HA,sport,sabbat,1.006666667,43.2,57,126,22,25,163.7
26171,HA,mta3 kolyoum,sabbat,1.011666667,24.8,57,103,19,21,80.3
26172,HA,posé,serwel,1.036666667,100,55.4,163,30,34,593.2
26173,HA,confy,serwel,1.05,128.8,60,176,32,37,1109
26174,HA,sport,maryoul,1.031666667,80,56,153,27,31,508.8
26175,Zen,confy,maryoul,1.016666667,41.6,61,122,22,25,136.9
26176,HA,sport,maryoul,1.038333333,80.8,57,152,27,31,469.4
26177,HA,formel,maryoul,1.031666667,84.8,54,155,28,32,474.5
26178,Bey&Bey,mta3 kolyoum,serwel,1.063333333,81.6,59,152,27,32,390.9
26179,Zen,mta3 kolyoum,sabbat,0.996666667,80,60,153,28,31,728.1
26180,HA,mta3 kolyoum,sabbat,1.031666667,40.8,55,121,22,25,178.7
26181,HA,posé,sabbat,1.036666667,136,57,181,33,38,1363.2
26182,HA,confy,sabbat,1.035,24,55,102,18,21,65.8
26183,HA,sport,jacket,1.03,22.4,55,99,18,20,65
26184,HA,mta3 a3res,t-shirt,1.033333333,40,55.1,119,22,25,167.9
26185,Zen,confy,sabbat,1.056666667,60.8,58,136,25,29,351.7
26186,Armani,posé,sabbat,1.018333333,84,58,155,28,32,532.3
26187,Bey&Bey,formel,maryoul,1.061666667,120.8,61,169,30,36,824.5
26188,HA,sport,t-shirt,1.043333333,46.4,54,126,22,26,198.4
26189,HA,sport,t-shirt,1.035,41.6,54,122,22,25,174.3
26190,HA,mta3 kolyoum,t-shirt,1.023333333,44,57,124,22,25,205.4
26191,Zen,posé,maryoul,1.055,132.8,59,177,32,37,883.1
26192,Armani,confy,maryoul,1.033333333,40,59,121,21,25,141.5
26193,Zen,classy,t-shirt,1.036666667,57.6,59.9,134,24,28,191.4
26194,Armani,mta3 a3res,sabbat,1.015,120,60,176,31,36,1385.3
26195,Zen,mta3 a3res,sabbat,1.026666667,80,56,152,28,31,601.3
26196,Armani,posé,serwel,1.02,80,59,151,27,31,385
26197,HA,formel,t-shirt,1.025,30.4,55.1,110,20,23,70.3
26198,Armani,classy,t-shirt,1.046666667,120,59,173,31,36,924
26199,Zen,confy,maryoul,1.021666667,58.4,58,136,25,28,287.1
26200,Zen,mta3 a3res,serwel,1.04,80.8,58,151,27,31,441.6
26201,HA,posé,kabbout,1.005,40,58,122,22,25,160.8
26202,Armani,confy,maryoul,1.045,72,60,145,26,30,444.3
26203,HA,mta3 a3res,jacket,1.03,24,54,103,18,21,85.7
26204,Armani,mta3 a3res,serwel,1.028333333,85.6,58,155,28,32,436.6
26205,HA,confy,serwel,1.02,98.4,55,164,30,34,628.8
26206,Zen,sport,t-shirt,1.051666667,80.8,55,150,27,32,679.5
26207,HA,sport,socks,1.031666667,24,55,102,18,21,86.3
26208,Zen,sport,t-shirt,1.048333333,40.8,58,119,22,25,165.6
26209,Zen,sport,serwel,1.031666667,57.6,59,134,24,28,221.8
26210,Zen,sport,maryoul,1.046666667,96,57,158,29,33,652.6
26211,Zen,mta3 a3res,serwel,1.025,96.8,61,160,29,33,529
26212,Zen,posé,sabbat,0.998333333,78.4,60,153,27,30,482.6
26213,Zen,sport,maryoul,1.043333333,82.4,56,152,27,32,502.4
26214,HA,confy,sabbat,1.04,41.6,57,122,22,25,174.3
26215,Armani,confy,sabbat,1.041666667,40.8,60,121,21,25,170.9
26216,HA,confy,serwel,1.045,40.8,53,120,22,25,117.7
26217,HA,confy,sabbat,1.035,56,57,134,24,28,263.3
26218,Armani,confy,maryoul,1.048333333,40.8,57,121,21,25,140.2
26219,Armani,mta3 a3res,serwel,1.028333333,98.4,58,162,30,34,487.6
26220,HA,mta3 a3res,serwel,1.035,56.8,56,136,24,28,263.7
26221,HA,mta3 a3res,serwel,1.045,80,57,150,27,31,415.5
26222,HA,mta3 a3res,jacket,1.045,18.4,57,92,16,19,53
26223,HA,posé,serwel,1.008333333,81.6,57,155,28,31,437.5
26224,HA,mta3 a3res,kabbout,1.025,24,58,102,18,21,69.4
26225,Zen,sport,kabbout,1.05,26.4,56,104,19,22,67.2
26226,Zen,mta3 kolyoum,sabbat,0.98,30.4,61,111,20,22,87.1
